City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Fasano,IT,2023-02-26 06:05:06,40.8344,17.3584,58.59,84,59,24.49
230,Agadir,MA,2023-02-26 06:00:21,30.4202,-9.5982,54.05,76,39,3.29
231,Sur,OM,2023-02-26 06:05:08,22.5667,59.5289,79.99,53,2,6.93
232,San Cristobal,VE,2023-02-26 06:05:08,7.7669,-72.225,66.38,85,40,2.28
233,Noyabrsk,RU,2023-02-26 06:05:09,63.1994,75.4507,10.78,91,95,11.03
234,Dingle,PH,2023-02-26 06:05:10,10.9995,122.6711,85.14,67,26,18.52
235,Tabou,CI,2023-02-26 06:05:10,4.423,-7.3528,78.31,89,60,8.41
236,Albion,US,2023-02-26 06:05:11,42.2431,-84.753,30.38,86,100,10.36
237,Touros,BR,2023-02-26 06:05:12,-5.1989,-35.4608,77.86,83,61,10.11
238,Lodwar,KE,2023-02-26 06:05:12,3.1191,35.5973,88.27,34,43,21.39
239,Ajaccio,FR,2023-02-26 06:04:28,42.0,8.9167,48.18,94,75,3.44
240,Kolpashevo,RU,2023-02-26 06:05:13,58.3131,82.9089,10.42,86,88,11.43
241,Lusambo,CD,2023-02-26 06:05:14,-4.9667,23.45,71.98,95,99,0.72
242,Cachoeira Do Sul,BR,2023-02-26 06:05:15,-30.0392,-52.8939,64.71,71,0,3.76
243,Kviteseid,NO,2023-02-26 06:05:16,59.4022,8.4927,26.1,77,7,5.75
244,Hofn,IS,2023-02-26 06:05:16,64.2539,-15.2082,41.79,88,93,13.71
245,Itapipoca,BR,2023-02-26 06:05:17,-3.4944,-39.5786,74.8,89,100,2.93
246,Pisco,PE,2023-02-26 06:05:18,-13.7,-76.2167,71.65,78,0,0.0
247,Obo,CF,2023-02-26 06:05:19,5.3998,26.4869,81.79,25,99,4.79
248,Viedma,AR,2023-02-26 06:00:33,-40.8135,-62.9967,61.92,39,17,12.95
249,Calabozo,VE,2023-02-26 06:05:20,8.9242,-67.4293,75.9,51,27,8.25
250,Abu Kamal,SY,2023-02-26 06:05:21,34.4506,40.9171,60.24,42,9,4.34
251,Presidencia Roque Saenz Pena,AR,2023-02-26 06:05:21,-26.7852,-60.4388,70.88,71,36,2.19
252,Keflavik,IS,2023-02-26 06:05:22,64.0049,-22.5624,45.03,93,75,24.16
253,Maceio,BR,2023-02-26 06:03:09,-9.6658,-35.7353,74.64,94,20,3.44
254,Florianopolis,BR,2023-02-26 06:01:28,-27.6146,-48.5012,71.62,93,0,1.14
255,Harda,IN,2023-02-26 06:05:24,22.3333,77.1,90.19,11,4,3.58
256,Araouane,ML,2023-02-26 06:05:24,18.9048,-3.5265,65.68,24,36,10.85
257,Muscat,OM,2023-02-26 06:01:51,23.6139,58.5922,78.82,52,2,2.89
258,Pitimbu,BR,2023-02-26 06:05:25,-7.4706,-34.8086,79.39,78,69,9.62
259,Alvaraes,BR,2023-02-26 06:05:26,-3.2208,-64.8042,72.0,99,98,2.86
260,Leh,IN,2023-02-26 06:05:26,34.1667,77.5833,15.06,67,69,2.59
261,Narsaq,GL,2023-02-26 06:05:27,60.9167,-46.05,10.62,97,91,4.74
262,Gorban,RO,2023-02-26 06:05:28,46.8761,28.0789,41.77,85,100,10.76
263,Porto Torres,IT,2023-02-26 06:05:28,40.835,8.3972,51.98,84,100,23.31
264,Awjilah,LY,2023-02-26 06:05:29,29.1081,21.2869,59.81,19,31,17.31
265,Albanel,CA,2023-02-26 06:05:29,48.8832,-72.4487,-0.26,84,85,2.3
266,Fort-Shevchenko,KZ,2023-02-26 06:05:30,44.5086,50.263,37.51,63,100,20.89
267,Gwadar,PK,2023-02-26 06:05:31,25.1216,62.3254,75.29,64,10,5.88
268,Ailigandi,PA,2023-02-26 06:05:31,9.2333,-78.0167,76.82,86,99,11.88
269,Sabha,LY,2023-02-26 06:05:32,27.0377,14.4283,64.87,17,88,10.74
270,Rincon,US,2023-02-26 06:05:32,32.296,-81.2354,66.16,89,100,4.61
271,Ponta Delgada,PT,2023-02-26 06:05:33,37.7333,-25.6667,61.52,100,75,17.27
272,Ostrovnoy,RU,2023-02-26 06:06:34,68.0531,39.5131,13.21,87,88,2.21
273,Comodoro Rivadavia,AR,2023-02-26 06:06:35,-45.8667,-67.5,55.26,41,0,20.71
274,Hun,LY,2023-02-26 06:06:35,29.1268,15.9477,64.47,17,93,6.08
275,Bonthe,SL,2023-02-26 06:06:36,7.5264,-12.505,74.07,93,89,4.68
276,Ilinskiy,RU,2023-02-26 06:06:37,55.619,38.1182,35.31,90,75,13.42
277,Tame,CO,2023-02-26 06:06:37,6.461,-71.73,77.95,48,53,5.35
278,Pau,FR,2023-02-26 06:04:27,43.4167,-0.5833,40.84,87,100,8.05
279,Weiz,AT,2023-02-26 06:06:38,47.2167,15.6167,33.31,99,100,4.34
280,Maltahohe,NA,2023-02-26 06:06:39,-24.8333,16.9833,76.78,18,3,10.76
281,Izhma,RU,2023-02-26 06:06:40,65.0083,53.9113,0.77,100,95,3.0
282,Krasnoselkup,RU,2023-02-26 06:06:40,65.7,82.4667,1.99,93,83,11.56
283,Gubkinskiy,RU,2023-02-26 06:06:41,64.434,76.5026,3.87,94,80,8.99
284,Miguel Calmon,BR,2023-02-26 06:06:42,-11.4289,-40.595,68.67,97,56,2.91
285,Carnarvon,AU,2023-02-26 06:06:42,-24.8667,113.6333,81.48,74,100,7.38
286,Beloha,MG,2023-02-26 06:06:43,-25.1667,45.05,86.36,52,80,5.64
287,Bubaque,GW,2023-02-26 06:06:44,11.2833,-15.8333,75.13,59,34,14.54
288,Rocha,UY,2023-02-26 06:06:45,-34.4833,-54.3333,63.23,89,38,7.09
289,Petauke,ZM,2023-02-26 06:06:45,-14.2426,31.3253,69.76,93,100,4.18
290,Kalabo,ZM,2023-02-26 06:06:46,-14.97,22.6814,66.99,91,100,3.96
291,Kannad,IN,2023-02-26 06:06:46,20.2667,75.1333,86.11,13,1,1.77
292,Oussouye,SN,2023-02-26 06:06:47,12.485,-16.5469,68.14,48,40,6.96
293,Chokwe,MZ,2023-02-26 06:06:47,-24.5333,32.9833,76.64,86,98,11.05
