City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
325,Vasai,IN,19.47,72.8,86.09,25,0,8.57,clear sky
326,Saint Albans,GB,51.75,-0.3333,47.84,98,100,13.8,light intensity drizzle
327,Harbour Breton,CA,47.4833,-55.7983,29.8,81,75,17.56,broken clouds
328,Puerto Colombia,CO,10.9878,-74.9547,77.09,83,72,18.79,broken clouds
329,General Pico,AR,-35.6566,-63.7568,72.64,45,76,17.76,broken clouds
330,Dori,BF,14.0354,-0.0345,81.95,34,2,5.39,clear sky
331,Periyapatti,IN,10.75,77.2667,79.81,53,99,8.97,overcast clouds
332,Dunmore Town,BS,25.5,-76.65,71.1,60,0,13.2,clear sky
333,Susehri,TR,40.1644,38.0867,43.03,77,90,4.38,light rain
334,Paita,PE,-5.0892,-81.1144,77.09,83,100,14.29,light rain
335,Sakakah,SA,29.9697,40.2064,51.37,51,0,5.93,clear sky
336,Carballo,ES,43.213,-8.691,55.87,87,76,7.87,broken clouds
337,Puerto Madryn,AR,-42.7692,-65.0385,68.7,39,9,12.28,clear sky
338,Kayes,ML,14.0,-11.0,77.58,9,23,4.79,few clouds
339,Iki-Burul,RU,45.8208,44.6472,43.3,76,83,7.61,broken clouds
340,Pitea,SE,65.3172,21.4794,21.29,77,100,6.04,overcast clouds
341,Zapolyarnyy,RU,69.4154,30.8136,9.68,96,100,3.53,overcast clouds
342,Stokmarknes,NO,68.5646,14.9108,24.76,86,100,8.05,light snow
343,Agadez,NE,19.75,10.25,70.3,15,80,7.0,broken clouds
344,Baltiysk,RU,54.6538,19.911,31.12,72,100,17.07,light snow
345,Gazanjyk,TM,39.2446,55.5154,57.65,65,100,7.92,overcast clouds
346,Shache,CN,38.4167,77.2406,57.76,24,75,2.91,broken clouds
